Date,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSONS,FMC,MOSAIC,SYSCO,ALICO,INGREDION,ANDERSONS,BUNGE,ALTRIA,SSTA
01-11-93,12.140135,12.451362,20.5625,14.205469,2.984375,,12.875,12.0625,15.75,11.437554,21.25,5.8125,20,,,,24.25,0.2
1/18/1993,11.978982,12.256809,20.1875,13.895532,2.96875,,13.375,11.90625,15.916667,11.112316,21.8125,6.0625,20.5,,,,24.083334,0
1/25/1993,11.280656,12.159534,20.5,13.947187,2.984375,,12.5,12.0625,15.75,10.570251,21.6875,6.40625,20.5,,,,24.916666,0
02-01-93,11.280656,10.894941,21.125,13.843875,3.046875,,13.375,12.59375,15.833333,10.326323,22.125,6.40625,20,,,,25.083334,0.3
02-08-93,11.173222,10.749027,21,13.714734,3.015625,,12.875,12.28125,16,10.05529,21.1875,6.3125,20,,,,24.291666,0.1
2/15/1993,10.743482,9.970818,19.6875,13.688907,2.9375,,12.5,12.875,15.583333,9.919774,19.5,6.15625,20,,,,22.666666,0.2
2/22/1993,11.388091,10.846304,21.1875,14.282953,2.984375,,12.75,13.09375,16.5,10.082394,18.9375,6.1875,19.5,,,,22.375,0.2
03-01-93,11.226938,10.505836,21.75,14.825344,3,,12.875,13.59375,17.333334,10.1366,18.875,6.34375,19.5,,,,21.541666,0.2
03-08-93,11.065786,10.992218,21.875,14.980312,2.9375,,11.75,13.21875,16.25,10.326323,18.5,6.6875,19.75,,,,21.708334,0.3
3/15/1993,11.226938,10.94358,22,15.006141,2.78125,,12,13.71875,16.083334,10.868387,18.5,6.5625,18.75,,,,21.375,0.4
3/22/1993,11.119504,10.700389,21.6875,14.386266,2.90625,,11.875,13.25,15.583333,10.516046,16.4375,6.5,19.75,,,,20.666666,0.7
3/29/1993,10.797199,10.554475,21.8125,14.489578,2.875,,11.9375,13.25,15.166667,10.272117,16.9375,6.46875,19.5,,,,16.458334,0.7
04-05-93,10.636047,9.192607,19.875,13.456453,2.75,,11.375,12.5,14.25,9.919774,18.3125,6.0625,20,,,,15.416667,0.6
04-12-93,10.528612,9.678988,19.625,13.533937,2.734375,,12,13.21875,13.916667,10.028188,17.875,5.71875,20,,,,16.291666,1.1
4/19/1993,10.313743,9.484436,18.75,13.378969,2.640625,,12.0625,12.71875,14.666667,9.621639,17.125,6.09375,18.75,,,,15.666667,0.9
4/26/1993,10.743482,9.533074,19.3125,13.714734,2.65625,,11.75,12.84375,14.833333,9.513227,17.625,6.21875,18.75,,,,15.666667,1
05-03-93,10.260025,9.678988,20.0625,13.843875,2.71875,,12.3125,13.28125,14.916667,9.730052,17.625,6.28125,19.5,,,,17,1
05-10-93,10.206307,9.873541,20.0625,13.404797,2.59375,,12.25,13.1875,14.166667,9.486123,16.9375,6.375,18.75,,,,16.958334,1
5/17/1993,10.36746,10.019455,20.625,14.334609,2.625,,12.3125,13.25,15.166667,9.675845,15.3125,6.4375,19,,,,16.708334,1
5/24/1993,10.260025,9.776264,19.9375,13.482282,2.5625,,12.375,13.25,16.083334,9.811361,15.75,6.65625,19,,,,16.791666,1.1
5/31/1993,10.206307,10.068093,19.6875,13.249828,2.609375,,12.3125,12.71875,15.75,9.567432,15.3125,6.5625,19,,,,16.708334,0.9
06-07-93,10.36746,10.068093,19.5625,13.120687,2.625,,11.375,12.46875,15,9.269298,14.4375,6.5,20,,,,16.541666,0.6
